code,name,gtin,mpn,shop_url
MiniPLC,"HomeMaster MiniPLC — ESP32 DIN-Rail PLC, Modbus, Ethernet, ESPHome",5940031036867,ESP32-MiniPLC,https://www.home-master.eu/shop/esp32-miniplc-55
MicroPLC,"HomeMaster MicroPLC — ESP32 DIN-Rail Controller, Modbus, ESPHome",5940031101725,ESP32-MicroPLC,https://www.home-master.eu/shop/esp32-microplc-56
OpenthermGateway,HomeMaster OpenTherm Gateway — ESPHome Smart Boiler Control,5940031101794,OpenTherm-Gateway,https://www.home-master.eu/shop/opentherm-gateway-59
ALM-173-R1,"HomeMaster ALM-173-R1 — 17-Zone Modbus Alarm Module, DIN-Rail",5940031101817,ALM-173-R1,https://www.home-master.eu/shop/alm-173-r1-alarm-systems-733
STR-3221-R1,"HomeMaster STR-3221-R1 — Smart Stair Lighting Module, 32 Steps",5940031101886,STR-3221-R1,https://www.home-master.eu/shop/str-3221-r1-stair-leds-module-66
AIO-422-R1,"HomeMaster AIO-422-R1 — Analog I/O & RTD Module, 4 Inputs, Modbus",5940031101954,AIO-422-R1,https://www.home-master.eu/shop/aio-422-r1-analog-io-rtd-735
DIO-430-R1,"HomeMaster DIO-430-R1 — Modbus Relay Module, 3x16A, 4 Digital Inputs",5940031101800,DIO-430-R1,https://www.home-master.eu/shop/dio-430-r1-relay-module-58
RGB-621-R1,"HomeMaster RGB-621-R1 — Modbus RGBCCT LED Controller, 5 Channels",5940031101756,RGB-621-R1,https://www.home-master.eu/shop/rgb-621-r1-rgbcct-module-57
DIM-420-R1,"HomeMaster DIM-420-R1 — Modbus AC Dimmer, 2-Channel MOSFET",5940031101824,DIM-420-R1,https://www.home-master.eu/shop/dim-420-r1-ac-dimmer-module-736
ENM-223-R1,"HomeMaster ENM-223-R1 — 3-Phase Energy Meter, Modbus, DIN-Rail",5940031101855,ENM-223-R1,https://www.home-master.eu/shop/enm-223-r1-energy-metering-737
WLD-521-R1,"HomeMaster WLD-521-R1 — Water Leak Detector & Flow Meter, Modbus",5940031101930,WLD-521-R1,https://www.home-master.eu/shop/wld-521-r1-water-meter-leak-1035
